epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,93.8961,1.58085,2.42866,1.34597,0.85444,0.81442,0.88568,0.54088,1.36689,1.26055,1.18398,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,159.635,1.39967,1.30171,1.24413,0.87005,0.85048,0.91225,0.58203,1.26409,0.929,1.18292,0.0197595,0.0065865,0.0197595,0.0065865,0.0197595,0.0065865,0.0197595,0.0065865
3,231.509,1.43962,1.15751,1.29699,0.77296,0.5684,0.68874,0.4115,1.56501,1.85391,1.4997,0.0293639,0.00978798,0.0293639,0.00978798,0.0293639,0.00978798,0.0293639,0.00978798
4,288.31,1.46426,1.12029,1.35312,0.86019,0.72641,0.82378,0.51704,1.38484,1.20744,1.31881,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,351.251,1.39826,1.01142,1.31843,0.90183,0.78049,0.87723,0.54138,1.35424,0.90416,1.36025,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,414.918,1.35812,0.94422,1.30748,0.92391,0.87555,0.94085,0.61687,1.24905,0.73397,1.27374,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,478.242,1.31717,0.89086,1.28088,0.92858,0.87805,0.94266,0.63376,1.15824,0.79205,1.25058,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,541.472,1.2969,0.85353,1.27353,0.91987,0.9035,0.9498,0.60627,1.24003,0.71953,1.31646,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,612.156,1.26882,0.82142,1.25921,0.95906,0.94408,0.96836,0.66047,1.15461,0.62842,1.22532,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,675.282,1.25557,0.79397,1.25415,0.94117,0.89919,0.9336,0.61702,1.17497,0.66955,1.26693,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,732.214,1.2455,0.79605,1.24457,0.9698,0.93107,0.97005,0.66467,1.12634,0.60827,1.21444,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,796.939,1.22602,0.7639,1.23666,0.96698,0.93531,0.96959,0.66097,1.15929,0.60317,1.23652,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,861.065,1.20016,0.74263,1.22575,0.9567,0.93723,0.97223,0.67834,1.0978,0.57873,1.19108,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,925.225,1.19332,0.72603,1.21953,0.98147,0.95483,0.97646,0.6783,1.09856,0.55986,1.19868,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,989.444,1.18043,0.71425,1.2221,0.98048,0.95122,0.97663,0.6849,1.07459,0.5649,1.21023,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1052.65,1.18196,0.71229,1.21049,0.97561,0.94274,0.97398,0.67986,1.07713,0.54659,1.21624,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1124.61,1.1668,0.69428,1.20359,0.97707,0.94893,0.97942,0.68642,1.05731,0.54325,1.19418,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1180.39,1.16479,0.68098,1.21314,0.98025,0.94721,0.98059,0.69386,1.04343,0.5449,1.18983,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1244.65,1.16268,0.68071,1.20381,0.98001,0.93602,0.97056,0.69164,1.05869,0.5333,1.19578,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1308.24,1.14818,0.67162,1.19344,0.98331,0.9491,0.97929,0.69168,1.07054,0.52243,1.20016,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1371.53,1.13593,0.65564,1.18389,0.9771,0.95011,0.97729,0.70025,1.04948,0.51531,1.17269,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1435.1,1.13159,0.64358,1.18328,0.97562,0.96182,0.98206,0.70112,1.04423,0.5195,1.1809,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1498.89,1.12231,0.64408,1.18319,0.98126,0.96076,0.98494,0.7065,1.03571,0.48685,1.16753,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1562.98,1.1274,0.64785,1.185,0.98887,0.91729,0.94924,0.68035,1.0384,0.48858,1.18559,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1627,1.11797,0.63797,1.18892,0.99297,0.96182,0.98573,0.71376,1.01215,0.46959,1.16242,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1691.35,1.11418,0.62488,1.18112,0.98747,0.96501,0.98271,0.71645,1.01664,0.47549,1.17484,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1761.96,1.1074,0.62333,1.16685,0.98482,0.96338,0.98086,0.71355,1.02861,0.46626,1.18312,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1827.03,1.10132,0.61751,1.17016,0.98802,0.96222,0.98668,0.71784,1.01452,0.459,1.17196,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1890.09,1.10079,0.61308,1.16902,0.98493,0.96607,0.99048,0.71628,1.00501,0.46085,1.1569,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1947.13,1.09039,0.60678,1.16514,0.9826,0.96076,0.98119,0.7165,1.00254,0.46317,1.16764,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
